Haifa,UmmalFahm,34.70 
Haifa,Jenin,47.19 
UmmalFahm,Hebron,110.42
UmmalFahm,Bethlehem,90.66 
UmmalFahm,Jerusalem,82.16 
UmmalFahm,Ramallah,68.14 
UmmalFahm,Jifna,62.40 
UmmalFahm,Surda,64
UmmalFahm,Birzeit,60.18 
UmmalFahm,Salfit,47.24 
UmmalFahm,Nablus,34.57 
UmmalFahm,Tubas,30.59 
UmmalFahm,Tulkarm,24.82 
UmmalFahm,Qabatiya,17.00 
UmmalFahm,Haifa,34.70 
UmmalFahm,Jenin,15.41 
Jenin,UmmalFahm,15.41 
Jenin,Haifa,47.19 
Jenin,Qabatiya,5.66 
Jenin,Tulkarm,30
Jenin,Tubas,17.4
Jenin,Nablus,26.59
Jenin,Salfit,42.83
Jenin,Birzeit,54.83
Jenin,Surda,58.75
Jenin,Jifna,56.08
Jenin,Ramallah,62.7
Jenin,Jerusalem,77.52
Jenin,Bethlehem,84.8
Jenin,Hebron,105.17
